,0
API_Database_android.database.sqlite.SQLiteDatabase_query,int64
API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,int64
API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,int64
API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,int64
API_Database_android.database.sqlite.SQLiteDatabase_update,int64
API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,int64
API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,int64
API_Database_android.database.sqlite.SQLiteDatabase_create,int64
API_IPC_android.content.ContextWrapper_sendBroadcast,int64
API_IPC_android.content.ContextWrapper_sendStickyBroadcast,int64
API_IPC_android.content.ContextWrapper_startActivity,int64
API_IPC_android.content.ContextWrapper_startService,int64
API_IPC_android.content.ContextWrapper_stopService,int64
API_IPC_android.content.ContextWrapper_registerReceiver,int64
API_Binder_android.app.ContextImpl_registerReceiver,int64
API_Binder_android.app.ActivityThread_handleReceiver,int64
API_Binder_android.app.Activity_startActivity,int64
API_Crypto_javax.crypto.spec.SecretKeySpec_$init,int64
API_Crypto_javax.crypto.Cipher_doFinal,int64
API_Crypto-Hash_java.security.MessageDigest_digest,int64
API_Crypto-Hash_java.security.MessageDigest_update,int64
API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,int64
API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,int64
API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,int64
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,int64
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,int64
API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,int64
API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,int64
API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,int64
API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,int64
API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,int64
API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,int64
API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,int64
API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,int64
API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,int64
API_DeviceInfo_android.os.Debug_isDebuggerConnected,int64
API_DeviceInfo_android.content.pm.PackageManager_getInstallerPackageName,int64
API_DeviceInfo_android.content.pm.PackageManager_getInstalledApplications,int64
API_DeviceInfo_android.content.pm.PackageManager_getInstalledModules,int64
API_DeviceInfo_android.content.pm.PackageManager_getInstalledPackages,int64
API_Network_java.net.URL_openConnection,int64
API_Network_org.apache.http.impl.client.AbstractHttpClient_execute,int64
API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,int64
API_Network_com.android.okhttp.internal.http.HttpURLConnectionImpl_getInputStream,int64
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,int64
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,int64
API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,int64
API_DexClassLoader_dalvik.system.DexFile_loadDex,int64
API_DexClassLoader_dalvik.system.DexFile_loadClass,int64
API_DexClassLoader_dalvik.system.DexClassLoader_$init,int64
API_Base64_android.util.Base64_decode,int64
API_Base64_android.util.Base64_encode,int64
API_Base64_android.util.Base64_encodeToString,int64
API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,int64
API_SystemManager_android.app.NotificationManager_notify,int64
API_SystemManager_android.telephony.TelephonyManager_listen,int64
API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,int64
API_SMS_android.telephony.SmsManager_sendTextMessage,int64
API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,int64
API_DeviceData_android.content.ContentResolver_query,int64
API_DeviceData_android.content.ContentResolver_registerContentObserver,int64
API_DeviceData_android.content.ContentResolver_insert,int64
API_DeviceData_android.content.ContentResolver_delete,int64
API_DeviceData_android.accounts.AccountManager_getAccountsByType,int64
API_DeviceData_android.accounts.AccountManager_getAccounts,int64
API_DeviceData_android.location.Location_getLatitude,int64
API_DeviceData_android.location.Location_getLongitude,int64
API_DeviceData_android.media.AudioRecord_startRecording,int64
API_DeviceData_android.media.MediaRecorder_start,int64
API_DeviceData_android.os.SystemProperties_get,int64
API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,int64
API__sessions,int64
Network_TotalReceivedBytes,int64
Network_TotalReceivedPackets,int64
Network_TotalTransmittedBytes,int64
Network_TotalTransmittedPackets,int64
Battery_wakelock,int64
Battery_service,int64
Logcat_warning,int64
Logcat_error,int64
Logcat_info,int64
Logcat_debug,int64
Logcat_verbose,int64
Logcat_total,int64
Process_total,int64
Category,int64
Family,int64
Before or After reboot,int64
